N_Samples,K_Repetitions,MSE,MSE_StdDev
1000,100,2.6656992170799448e-05,3.5057753840481987e-06
2782,100,1.0542316330352107e-05,1.5672584533411226e-06
7742,100,3.1710212768484436e-06,4.849932155528048e-07
21544,100,1.319676846077743e-06,1.5442323635815384e-07
59948,100,5.805024965001404e-07,7.711021485260498e-08
166810,100,2.01999997043569e-07,3.0662398987180955e-08
464158,100,5.6343566561114414e-08,6.790609751247094e-09
1291549,100,2.1895671763916695e-08,2.8911089305480625e-09
3593813,100,7.514743070535324e-09,1.0148967171860744e-09
10000000,100,3.1678670912034798e-09,4.007506415172965e-10
