Image_Name,Pixel_Count,L_hat (Shape),Lambda_hat (Rate),Mean_Observed,Mean_Theory (L/lambda),Mean_Abs_Error,Var_Observed,Var_Theory (L/lambda^2),Var_Abs_Error,Chi2_Stat,Chi2_P_Value,KS_Stat,KS_P_Value
1.jpg,168336,175.4871852,2.013914889,87.13733942,87.13733942,0,41.75944464,43.26763752,1.508192882,482679.3668,0,0.097889848,0
10.png,9632,5.531368302,0.266105951,20.78633821,20.78633821,0,75.09159904,78.11301519,3.021416146,145.0725037,3.38E-11,0.032799411,1.95E-09
11.png,18193,5.642437055,0.276439728,20.41109318,20.41109318,0,71.78389719,73.83559988,2.051702694,3726.45599,0,0.030744461,2.25E-15
12.png,18400,5.552480495,0.33418041,16.61521839,16.61521839,0,48.02672495,49.71930697,1.692582019,8999.650521,0,0.042009424,1.18E-28
13.png,22816,5.698248129,0.321393099,17.72983971,17.72983971,0,53.72277024,55.16558932,1.442819078,9995.535734,0,0.034703189,2.62E-24
14.png,25990,3.990807547,0.452241241,8.824510427,8.824510427,0,18.55600568,19.51283878,0.956833106,52093.27357,0,0.060490707,4.11E-83
15.jpg,43680,48.24780897,1.320472934,36.53827939,36.53827939,0,25.86483513,27.67060078,1.80576565,95230.77926,0,0.085992894,1.81E-281
2.jpg,226476,49.12156986,1.791024036,27.42652743,27.42652743,0,14.8995143,15.31332181,0.41380751,1179449.447,0,0.072404674,0
3.png,13090,5.536531923,0.123906571,44.68311788,44.68311788,7.11E-15,353.5770488,360.6194368,7.042387988,357.0469655,1.98E-45,0.017534746,0.000630844
4.png,15759,5.524108121,0.12119625,45.57986013,45.57986013,0,364.3325876,376.0830896,11.75050201,362.2749367,3.52E-45,0.017425214,0.000137891
5.png,13860,5.493493091,0.106702056,51.48441658,51.48441658,0,473.4826576,482.5063228,9.023665268,554.8500087,3.08E-83,0.013393871,0.013722037
6.png,27776,5.182568109,0.098777425,52.4671309,52.4671309,7.11E-15,521.9568689,531.1651997,9.208330825,293.5034576,2.61E-27,0.015098532,6.26E-06
7.png,39552,5.768426044,0.137161328,42.05577568,42.05577568,0,298.8062541,306.6154015,7.809147467,5194.31497,0,0.017681215,3.59E-11
8.png,18525,3.993557881,0.584711709,6.829960514,6.829960514,0,10.06447355,11.6809026,1.616429049,43595.32223,0,0.090666816,5.77E-133
9.jpg,132165,44.04712821,1.593721927,27.6379006,27.6379006,3.55E-15,16.74319193,17.34173328,0.598541358,557877.3533,0,0.074706798,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
